date,star1,star2,star3,star4,star5
2014-09,1,0,2,1,5
2014-08,1,1,0,2,2
2012-12,0,0,1,0,0
2014-05,4,7,10,11,3
2014-04,0,0,4,4,3
2014-07,0,0,0,2,3
2014-06,0,7,1,12,8
2014-01,0,2,4,22,6
2014-03,0,0,0,4,3
2014-02,5,0,5,8,8
2013-04,4,0,6,14,4
2013-08,1,2,4,17,14
2013-09,1,1,2,2,2
2015-10,0,1,2,7,13
2015-11,0,1,2,3,4
2013-05,0,0,0,1,2
2013-06,0,1,0,2,2
2013-07,2,0,2,11,18
2013-01,1,0,3,5,9
2013-02,0,0,0,3,1
2013-03,0,2,1,11,4
2015-12,0,0,2,6,4
2012-06,1,1,1,2,1
2016-10,3,0,1,5,13
2012-05,0,0,2,1,2
2016-12,0,0,1,0,0
2013-10,0,1,0,0,1
2012-10,0,2,5,5,4
2015-06,0,1,5,10,10
2015-07,0,1,1,7,17
2015-04,0,0,0,11,7
2015-05,0,0,0,2,3
2015-02,3,1,4,4,9
2015-03,0,0,4,6,8
2015-01,1,0,3,2,2
2014-12,0,1,1,2,0
2014-10,0,0,0,2,5
2014-11,1,0,2,1,2
2015-08,0,0,2,4,3
2015-09,0,0,1,0,1
2012-09,1,4,5,9,7
2012-08,1,0,0,3,3
2012-03,2,4,4,12,14
2012-02,0,1,2,13,30
2012-01,0,0,0,0,10
2012-07,1,0,0,1,5
2013-12,0,0,2,2,3
2013-11,2,3,4,4,17
2012-04,0,1,1,1,6
2012-11,0,0,4,2,4
2017-01,0,0,0,0,1
2016-07,2,0,1,2,0
2016-06,0,2,0,1,2
2016-05,1,1,0,0,4
2016-04,0,0,2,1,1
2016-03,0,0,1,1,4
2016-02,1,3,0,3,12
2016-01,0,1,0,2,0
2016-09,0,0,1,0,1
2016-08,0,1,0,1,0
