date,star1,star2,star3,star4,star5
2011-08,0,2,3,0,0
2014-09,0,0,2,1,3
2014-08,0,2,2,0,0
2014-05,0,0,1,2,1
2014-04,0,2,0,0,1
2010-11,0,0,0,8,2
2014-06,0,0,0,1,0
2011-06,0,0,1,4,0
2007-06,0,0,2,0,0
2011-04,0,0,0,2,1
2011-05,0,1,5,3,0
2013-08,1,2,0,0,0
2013-09,0,0,0,2,4
2010-07,0,0,0,1,0
2010-06,0,0,0,3,0
2012-10,0,0,0,2,2
2010-08,0,0,6,0,0
2013-06,0,2,0,2,0
2015-12,1,1,2,1,0
2013-01,0,1,2,2,0
2013-02,0,0,2,0,0
2013-03,0,0,2,0,0
2008-09,2,0,0,0,0
2008-03,0,0,2,0,0
2007-05,0,0,0,2,0
2008-06,0,0,0,2,0
2012-06,0,0,0,0,1
2009-12,0,0,0,1,0
2009-06,0,2,0,0,0
2009-05,0,0,0,1,0
2013-11,0,0,1,0,0
2016-12,0,0,0,0,1
2011-03,0,0,1,4,0
2012-04,2,0,0,0,1
2013-05,0,0,1,0,0
2014-07,1,0,0,0,1
2016-02,0,0,2,0,0
2015-06,1,0,0,0,2
2015-07,1,0,2,0,0
2015-04,0,0,1,2,1
2015-05,0,1,0,0,4
2015-03,0,1,2,4,4
2009-01,0,0,0,2,0
2014-01,0,0,2,2,0
2014-10,0,0,0,0,1
2011-11,0,0,0,2,2
2015-08,0,0,0,0,3
2015-09,0,0,0,4,2
2012-09,0,0,3,1,2
2012-08,0,0,0,0,1
2011-01,0,0,1,0,2
2012-03,0,0,0,1,0
2012-02,0,0,2,0,0
2015-01,0,0,0,2,0
2014-02,0,0,1,0,0
2012-07,0,0,5,1,0
2013-12,0,0,1,1,0
2012-05,0,3,2,0,0
2013-10,2,1,3,4,1
2015-10,0,0,0,1,1
2017-01,0,0,1,0,0
2008-11,0,0,2,0,0
2008-10,2,2,0,0,0
2016-07,0,0,1,0,0
2016-06,1,1,0,1,4
2016-04,0,0,0,1,0
2016-03,1,0,2,5,3
2009-11,0,2,0,0,1
2016-01,0,0,2,0,0
2010-05,0,0,0,1,0
2009-08,0,2,0,0,0
2016-09,0,0,0,0,2
2016-08,1,2,0,1,2
