date,star1,star2,star3,star4,star5
2014-09,0,5,5,12,22
2014-08,2,0,11,34,58
2014-07,2,1,1,19,24
2014-06,0,0,6,9,33
2015-11,2,1,5,8,31
2015-10,0,2,3,9,31
2015-12,0,3,4,12,26
2016-10,4,2,1,10,17
2016-11,0,2,1,10,17
2016-12,0,1,3,4,10
2015-06,1,0,4,11,25
2015-07,3,2,3,12,21
2015-04,0,2,0,19,27
2015-05,0,2,0,19,32
2015-02,0,0,4,4,21
2015-03,0,2,3,16,38
2015-01,1,2,3,11,24
2014-12,1,2,5,18,30
2014-10,0,0,2,21,22
2014-11,0,3,2,18,61
2015-08,2,1,2,23,18
2015-09,3,0,3,10,24
2017-01,2,2,3,6,15
2016-07,0,0,3,14,28
2016-06,4,2,3,17,20
2016-05,1,3,3,5,38
2016-04,1,0,2,14,37
2016-03,2,2,4,10,34
2016-02,0,3,1,3,46
2016-01,3,0,3,13,53
2016-09,0,2,1,9,19
2016-08,2,2,5,7,24
